Category,Unique Value,Keep
Tissue_Modification,digestion with trypsin,FALSE
Organism,Tradescantia (plant),FALSE
Sample_Growth_Conditions,fresh,
Organism,Aplysina aerophoba,FALSE
Organism,Gallus domesticus (chicken),FALSE
Organism_Part,Bladder,
Organism_Part,esophagus,
Organism_Part,Prostate,
Organism_Part,Thyroid,
Organism_Part,Sarcoma,
Organism,Ivy (Plant),FALSE
Organism_Part,fingerprint,FALSE
Organism,unknown,FALSE
Organism,Mouse ,
Organism_Part,Artery,
Condition,ApoE,
Condition,ref_for_S-1905-018714_50um,
Condition,Control-healthy,
Condition,S-1905-018714_35um,
Condition,S-1905-018714,
Condition,"Cancer, metastatic, GIST",
Additional_Information,"Sample Description: Mixture of intestinal lipids (PCs and lyso-PCs, cholic acid and taurocholate) sprayed on a glass slide.",FALSE
Tissue_Modification,CA derivatization,FALSE
MALDI_Matrix,gold,FALSE
Tissue_Modification,5-NBA derivatization,FALSE
Tissue_Modification,TMPy derivatization,FALSE
Condition,Infected,
Sample_Growth_Conditions,normal diet,
Organism_Part,finger,FALSE
Sample_Growth_Conditions,"fingerprint, fresh",FALSE
Condition,ref_S-1909-007131,
MALDI_Matrix,"2,5-dihydroxyacetophenone",
Organism,switchgrass,FALSE
Organism_Part,imprint,FALSE
Sample_Growth_Conditions,A11,
Sample_Stabilisation,imprint,FALSE
Organism,clementine,FALSE
Organism,Chlamydomonas reinhardtii,FALSE
Organism_Part,Chlamydomonas reinhardtii,FALSE
Condition,Chlamydomonas reinhardtii,FALSE
Sample_Growth_Conditions,TAP medium,
Organism,Exaiptasia diaphana (anemone),FALSE
Condition,Ambient,
Sample_Growth_Conditions,Marine,
Analyzer,FTMS,
Additional_Information,Used peak area for ibd and imz export(not raw data),
Organism,Grevillea robusta,FALSE
Organism_Part,Flower,FALSE
Organism,Telopea speciosissima,FALSE
Organism,Bathymodiolus puteoserpenstis,FALSE
Sample_Stabilisation,Flash frozen,
Additional_Information,"Sample Description: 2 day old mouse
Sample Preparation: Cryosectioned at 25 micron thickness and analyzed with 100 micron spatial resolution",
Additional_Information,KPMP (UTHSCSA),
Organism,Neorites kevedianus,FALSE
Organism,Hakea bucculenta,FALSE
Organism_Part,Rachis,
Organism,Macadamia tetraphylla,FALSE
Condition,Frozen,
Sample_Growth_Conditions,A6,
Condition,PVDF_A6,
Condition,GTTP_A6,
Organism_Part,Urinary bladder,
MALDI_Matrix,N/A,
Organism_Part,Adrenal gland,
Additional_Information,"Sample Description: mouse adrenal gland
Expected Molecules: small metabolites",
Sample_Growth_Conditions,Cerebellum,
Organism_Part,knee,
Sample_Stabilisation,"Fresh frozen, SCEM embedding, tape transfer",
Organism,Pig,FALSE
Organism_Part,Cartilage,
Condition,PVDF,FALSE
Sample_Growth_Conditions,A7,
Condition,GTTP,
Organism,Allium Cepa,FALSE
Condition,Native,
Organism,P. lima,FALSE
Organism_Part,Brain (CSF),
Organism,Pseudomonas putida | Pseudomonas savastanoi,FALSE
Sample_Growth_Conditions,Cultured 2D,
Additional_Information,D:\Alexandrov_Team\Projects\5_Pputida_vs_Psavastanoi_IMS\2018-11-15_DDN_PputPsav_200x200_100x200,FALSE
Additional_Information,P. putida RW10s2 vs P. savastanoi 722,FALSE
Tissue_Modification,derivatization BTA,FALSE
Organism,persimmon,FALSE
Sample_Growth_Conditions,rotting,
Organism,Atta sexdens,FALSE
Organism,blueberry,FALSE
Organism_Part,oral squamous cell carcinoma,
MALDI_Matrix,"2,5-dihydroxy benzoic acid (DHB)",
Organism_Part,tumor-adjacent tissue,
Condition,TB Granuloma,
Organism,carrot,FALSE
Sample_Growth_Conditions,sprouting,
Organism_Part,Nodule,FALSE
Organism,Potato,FALSE
Sample_Growth_Conditions,NW,
Organism,Cotton (Gossypium L.),FALSE
Organism_Part,"cotton ovules sampled at -1.5 DPA, -1 DPA, 0 DPA, 1 DPA, 3 DPA, 4 DPA, and 5 DPA",FALSE
Sample_Growth_Conditions,climate chamber,
Sample_Stabilisation,Freshly harvested,
Tissue_Modification,Ammonium Formate wash,
Organism,Kiwi berry,FALSE
Organism_Part,"globular embryos,torpedo embryos,cotyledonary embryos,callus_1,callus_2",
Organism,tumor spheroids,FALSE
Organism_Part,spheroids,FALSE
Sample_Stabilisation,gelatin,
Organism,Food grade garlic,FALSE
Sample_Growth_Conditions,"supermarket, peeled",FALSE
MALDI_Matrix,Au,FALSE
Condition,infected,
Condition,P27,
Organism_Part,Tooth,
Organism_Part,Bone and tooth,
Organism_Part,Bone,
Organism,Mice,
Additional_Information,"Sample 5J replicate, m/z range 100-1500, 90:10 MeOH:H2O, 3 µl/min, N2 7bar, IT 100, S-lens 100, 5kV",FALSE
Condition,Constructed wetland,FALSE
Analyzer,FT-ICR,
Sample_Stabilisation,tape mounted fracturing,
Organism,Arabidopsis,FALSE
MALDI_Matrix,DHB/CHCA,
Tissue_Modification,Derivatization by betaine,FALSE
Organism,Drosophila larvae,FALSE
Sample_Growth_Conditions,none,
Organism_Part,Omentum,
Condition,Co-culture,FALSE
Sample_Growth_Conditions,Cultured 3D in 1% agarose + DMEM media,
MALDI_Matrix,ice,
Organism,Nicotiana nesophila,FALSE
MALDI_Matrix_Application,HCCA,
Condition,patient #7,
Condition,mature,
Sample_Growth_Conditions,Cultured 3D,
Condition,mac_P7_control,
Organism,Livers ,FALSE
Condition,Myasthenia gravis experimental animal EAMG,
Sample_Growth_Conditions,Leflunomide (LEF) preparations intravenous administration in EAMG then freshly harvested.,
Organism_Part,nodules,FALSE
Organism_Part,lung,
Condition,different,
Sample_Stabilisation,Sucrose,FALSE
MALDI_Matrix,Ice and Sucrose,
Sample_Stabilisation,Fresh Frozen,
Sample_Stabilisation,Sucrose Frozen,FALSE
Sample_Stabilisation,microflidic chip,
Condition,96 hrs,
Sample_Stabilisation,3.75% HPMC and 1.25% PVP embedded,
Condition,diseased,
Sample_Growth_Conditions,14 days infection,
Sample_Growth_Conditions,20 days infection,
MALDI_Matrix,ZSA,FALSE
Organism,Monkey,FALSE
Organism_Part,retina,
MALDI_Matrix_Application,Sputtering,FALSE
Organism_Part,Small intestine,
Sample_Growth_Conditions,naive,
Organism,Mouse Brain,
MALDI_Matrix,"2′,5′-Dihydroxyacetophenone (DHAP)",
Condition,untreated,
Condition,"control, GT derivatization included in search",
Sample_Stabilisation,HPMC,
Tissue_Modification,GT derivatization,FALSE
Condition,024_control_35um,
Condition,drug trated,
Organism,microbes,FALSE
Condition,MN08,
Condition,MF09,
Condition,SF01,
Condition,LN05,
Condition,SF14,
Condition,SF11,
Condition,LN02,
Condition,LN01,
Condition,LF08,
Condition,LF06,
Condition,LF03,
Organism,Canine,FALSE
Condition,Sarcoma,
Sample_Growth_Conditions,Flash-Frozen ,
Analyzer,Synapt,
Additional_Information,Attempt 2 at Waters Centroid Data,FALSE
Organism,Galleria mallonella,FALSE
Sample_Stabilisation,FFPE vs Fresh frozen,
Condition,"6724, 35um, very right",
Condition,"6724, right",
Condition,"6724, left",
Condition,ref_for_S-1905-017720,
Condition,"S-1905-017720, right",
Condition,S-1905-017720,
Condition,"right_0734, 50um",
Condition,"left_0734, 50um",
Condition,024_control,
Condition,024_control_right_50um,
Condition,024_control_left_50um,
MALDI_Matrix,4-Nitroaniline,
MALDI_Matrix,5-Chloro-2-mercaptobenzothiazole,
Organism,Lemna minor,FALSE
Organism_Part,Frond,
MALDI_Matrix,"2,5-dihydroxyacetophenone (DHAP)/Gold Sputter",FALSE
Condition,922,
Condition,"0922 , didn't pass QC",FALSE
Condition,reference_for_0922,
Condition,"024_control_down_up, didn't pass QC",
Condition,"ref_for_control_024, didn't pass QC",
Analyzer,timsTOF,
MALDI_Matrix_Application,Subimation,
Condition,"S-1908-000922, 35um spatial",
Organism_Part,HeLa,FALSE
Condition,Tuberculosis,
Condition,922_35um,
Condition,922_50um,
Organism,Coriandrum sativum,FALSE
Condition,"control_024_down_right, didn't pass QC",
Condition,control_024,
Organism_Part,meristem,FALSE
Condition,patient7,
Additional_Information,Slice thickness is 30µm. Section of visual cortex.,
Condition,mac_P10_control,
Condition,mac_P8_ammonium,
Condition,mac_P11_ammonium,
Condition,mac_P6_nitrate,
Condition,mac_P11_nitrate,
Condition,P11_ammonium,
Sample_Growth_Conditions,Glucose 0.15mg/L,
Sample_Growth_Conditions,Glucose 1.5 mg/L,
Sample_Growth_Conditions,Glucose 0.15 mg/L,
Organism,soil bacteria,FALSE
Condition,large pores,FALSE
Condition,small pores,FALSE
Condition,medium pores,FALSE
Condition,mimetic,FALSE
Organism_Part,HaCaT cells,FALSE
Sample_Growth_Conditions,Cultures,FALSE
Organism_Part,Mesenchymal stromal cells,FALSE
Condition,IFN treated,
Tissue_Modification,IFN,
Organism_Part,Eye,
Organism,Non-human primate (rhesus macaque),FALSE
Condition,RT-SHIV+,
Condition,fixed,
Condition,ref_for_S-1908-000922,
Condition,"S-1908-000922, 35 um spatial",
Condition,S-1908-000922,
Condition,ref_S-2102-006581,
Condition,"S-2102-006581, 35 um spatial",
Condition,S-2102-006581,
Sample_Stabilisation,10% Gelatine,
Organism,Hela cells,FALSE
Additional_Information,"DHB - 0.7 7 PASSES 15MGML
Optical image channels: green = FITC
",
Organism,mixed,FALSE
Organism_Part,mixed,
MALDI_Matrix_Application,ultrasonic sprayer,
Analyzer,Synapt G2-S HDMS,
Organism_Part,Glioblastoma,
Additional_Information,"DHB - 0.7 7 PASSES 15MGML
Optical image channels: red = DAPI
",
Additional_Information,"Sample 5I, m/z range 100-1500, 90:10 MeOH:H2O, 3 µl/min, N2 7bar, IT 100, S-lens 100, 5kV",FALSE
Additional_Information,"Sample 5G, m/z range 75-500, 90:10 MeOH:H2O, 3 µl/min, N2 7bar, IT 100, S-lens 100, 5kV",FALSE
Additional_Information,"Sample 5H, m/z range 75-500, 90:10 MeOH:H2O, 3 µl/min, N2 7bar, IT 100, S-lens 100, 5kV",FALSE
Additional_Information,"Sample 5J, m/z range 100-1500, 90:10 MeOH:H2O, 3 µl/min, N2 7bar, IT 100, S-lens 100, 5kV",FALSE
Condition,normal -asthma,
Condition,nif mutant,
Additional_Information,Modality is atmospheric pressure plasma enhanced infrared laser desorption ionisation without addition of any matrix or other ionisation enhancing or laser absorption additive. ,
Condition,No gelatin,FALSE
Sample_Growth_Conditions,Glucose7.5 mg/L,
Condition,pliot sample_020,
Additional_Information,"Sample 14A, m/z range 75-500",FALSE
Organism_Part,CD4+ T cells,FALSE
Condition,reference tissue KNO3 2nd incubation chamber,
Condition,ref_for_S-2001-019395,
Condition,S-2001-019395,
Condition,"S-2001-019395, 35 um spatial",
Condition,reference_tissue_KNO3_1st incubation chamber,
Condition,reference for S-1908-009717,
Condition,"S-1908-009717, 35 um spatial",
Condition,S-1908-009717,
MALDI_Matrix,glycerol,FALSE
MALDI_Matrix,BPYN,FALSE
Organism,Camelina,FALSE
Condition,S-1909-007131,
Condition,reference for S-1904-008111,
Condition,S-1904-008111,
Organism_Part,Prostate cancer cells,FALSE
Condition,Treated 2-DG,
Sample_Growth_Conditions,PDXO,
Sample_Stabilisation,4% PFA 10 minutes,
MALDI_Matrix_Application,TM Sprayer - 5mg/mL; 70°C; 0.07mL/min; 10 passes; 10psi,
MALDI_Matrix_Application,TM Sprayer - 10mg/mL; 80°C; 0.07mL/min; 8 passes; 10psi,
Additional_Information,"Optical image channels: blue = DAPI
",
MALDI_Matrix_Application,TM Sprayer - 10mg/mL; 80°C; 0.05mL/min; 8 passes; 10psi,
Condition,Treated,
MALDI_Matrix_Application,TM Sprayer - C7mg/mL; 80°C; 0.05mL/min; 8 passes; 10psi,
Organism,mice,
Organism_Part,macro,FALSE
Organism_Part,macrophage,FALSE
Condition,single cell,FALSE
MALDI_Matrix_Application,sprayed on slide,
MALDI_Matrix_Application,sprayed on tissue,
Organism_Part,Cerebellum,
Organism_Part,3T3 fibroblast and HaCaT cells,FALSE
Condition,cells in culture,FALSE
Sample_Growth_Conditions,coculture,FALSE
Organism_Part,Primary stem,
Additional_Information,Cryo section of one of a Rauwolfia tetraphylla leaf. ,FALSE
Sample_Growth_Conditions,Glucose 0 mg/L,
Organism,Drosophila,FALSE
Condition,Interaction and control,
Condition,Interaction,
Condition,Leuco_Control,
Condition,Esco_control,
Condition,"Infected, Escovopsis",
Condition,biopsy_020,
Condition,B109,
Tissue_Modification,Coniferyl Aldehyde,
Tissue_Modification,Girard's P,FALSE
Tissue_Modification,Girard's T,FALSE
Tissue_Modification,2-picolylamine,
Analyzer,TimsTOF,
Analyzer,FTICR(Solarix),
MALDI_Matrix,9-aminoacridine,
Condition,reference,
Condition,"35um, biopsy, didn't pass QC",
Condition,didn't pass WC,
Condition,didn't pass QC,
Condition,"35um, didn't pass QC",
Condition,"biopsy, didn't pass QC",
Additional_Information,"This dataset is not the original result from an experiment but has been manipulated and curated to serve as test data.
Optical image channels: gray = brightfield, green = GFP
",FALSE
Sample_Growth_Conditions,monoculture,FALSE
Organism_Part,3T3 fibroblast cells,FALSE
Organism_Part,primary human epithelial keratinocytes neonatal (hekn cells) ,FALSE
Organism_Part,3T3 fibroblast and primary human epithelial keratinocytes neonatal (hekn) cells ,FALSE
Condition,Low Fat Diet,
Condition,High Fat Diet,
Sample_Growth_Conditions,T0,
Organism,Homo sapiens (mouse),
Organism,trichodesmium,FALSE
Sample_Growth_Conditions,with dust,
MALDI_Matrix,N-(1-naphthyl)ethylenediamine dihydrochloride,
Sample_Growth_Conditions,high fat diet,
Condition,Tumour,
MALDI_Matrix,4-chloro-alpha-cyanocinnamic acid,
Organism,Brassica napus (rapeseed),FALSE
Sample_Growth_Conditions,Growth chamber,
Organism,Bacterial culture,FALSE
Sample_Growth_Conditions,SunChrom Sprayer,
Sample_Growth_Conditions,spheroids,FALSE
Organism,Bacterial cultures,FALSE
Sample_Stabilisation,NA,
Organism,Pseudomonas fluorescence,FALSE
Sample_Stabilisation,EtOH washing,
Condition,48h,
Condition,24h,
Organism_Part,Finger,
Condition,Native Print,
MALDI_Matrix_Application,TMSprayer,
MALDI_Matrix,Maleic anhydride proton sponge,
MALDI_Matrix,PNDI-T2,
MALDI_Matrix,alpha-cyano-4-hydroxycinnamic acid,
Organism_Part,palm of hand,
Sample_Growth_Conditions,ROSAH patient,
Organism_Part,ear/skin,
Condition,MC903,
Sample_Growth_Conditions,treated with R. mucosa,
Sample_Growth_Conditions,treated with Cohnii,
Organism,soybean,FALSE
Condition,nif,
Condition,3T3 fibroblast cells,FALSE
Sample_Growth_Conditions,cells grown in DMEM 10% FBS,
Organism_Part,prostate,
Additional_Information,"Sample 9e, m/z range 200-1250 m/z, Negative Mode",FALSE
Condition,SP (mycorrhizal w/ Suillus pungens,FALSE
Condition,NM (non-mycorrhizal),FALSE
Tissue_Modification,BzPy PB,FALSE
MALDI_Matrix,BzPy,FALSE
Condition,SIL-Labeled,FALSE
Condition,Control-unlabeled,
Condition,"Infected, Salmonella",
Sample_Growth_Conditions,"control, infected, infected and treated",
Additional_Information,"Sample S1D positive ion mode, m/z 350-1300
MeOH/H2O 95:5, 1.0uL/min, 4.5kV, S-Lens 100, 150ms IT,
4.5bar N2, 70deg angle",
Condition,healthy biopsy,
Analyzer,UHMR,
Condition,DKD biopsy,
MALDI_Matrix,multiple,FALSE
Organism,piper,FALSE
Condition,drought and predrought,
Organism,clitoria,FALSE
Organism,hibiscus,FALSE
Condition,VDS,
Additional_Information,Centroid Data,
Condition,DKD and CTR comparison,
Condition,DKD ,
Condition,VDD,
Condition,C9+ (sALS),
Condition,sALS,
Condition,Control (sALS),
Condition,DKD,
Condition,Ga complex,FALSE
Tissue_Modification,Ga complex,FALSE
Organism,Azotobacter ,FALSE
Organism_Part,"Leaf, seed",
Condition,genetically pure improved variety,
MALDI_Matrix,super DHB,
Organism_Part,pancreatic cancer cell line - K8484,FALSE
Sample_Growth_Conditions,attached - no trypsin,FALSE
Sample_Stabilisation,PFA,
Additional_Information,"DAN 7mg/ml 70acn 7 passes flowrate 0.05 mL/min
pixel mode

Optical image channels: gray = trans, blue = hoechst
",
Sample_Growth_Conditions,trypsin + cytospin,FALSE
Sample_Stabilisation,Cytospin,FALSE
Organism,Dunaliella salina and Artemia,FALSE
Organism_Part,Mush ,FALSE
Organism,Artemia,FALSE
Organism_Part,Mush,FALSE
Sample_Growth_Conditions,Co-culture,FALSE
Organism,African Green monkey,FALSE
Condition,nif type,
Sample_Stabilisation,Snap frozen,
Organism,Dunaliella salina,FALSE
Organism_Part,Homogenate,FALSE
Condition,on membrane,FALSE
Sample_Stabilisation,dried,
Additional_Information,"Sample 4F, m/z range: 100-1500",FALSE
Organism_Part,Brain (occipital),
Sample_Growth_Conditions,non migrated (10%fbs),
Condition,RAH Tumor,
Organism_Part,Left upper arm,
Additional_Information,"Tissue was cut to 8um thick tissue using a modified Kawamoto's film method (2003) and transferred onto DIOS substrates using transfer film. Frozen sections were transferred onto n-type electrohcemically etched and silanized porous silicon wafers. Tissue was imaged directly post dessication via abalation, using a manually adjusted laser power. Spectra were acquired at a spatial resolution of 50um in positive ion mode. ",FALSE
Additional_Information,"N = 2 (vehicle) N = 4 (doxorubicin treated), 6 hours after treatment",
Organism_Part,artery,
Organism,Apis mellifera,FALSE
Condition,Pesticide contaminated,
Organism_Part,Digestive system,
Organism,Spodoptera littoralis,FALSE
MALDI_Matrix,DIUTHAME,FALSE
Organism,Rapeseed,FALSE
Organism_Part,germinated seed,FALSE
Organism,rat,
Condition,CLZ,
Condition,Neosporin,
Additional_Information,pqsA 200mz,
Condition,Vaseline,
Condition,biopsy_18-162-2,
Condition,biopsy_016,
Condition,biopsy_18-312-2,
Condition,biopsy_18-342-2,
Condition,pilot_18139,
Condition,16gauge_020,
Additional_Information,18-162-2,
Organism_Part,SKin,
Condition,SPF,
Condition,Staph A,FALSE
Condition,PBS,
Condition,Germ-Free,
Organism,bovine,FALSE
Tissue_Modification,homogenate,FALSE
Organism_Part,xenograft tumors,
Organism_Part,Epithelial cells,FALSE
Analyzer,QExactive plus,
Organism,Fittonia argyroneura,FALSE
Organism,Bathymodiolus brooksi,FALSE
Condition,wild-type,
Sample_Stabilisation,5min 4% PFA,
MALDI_Matrix_Application, TM sprayer,
Additional_Information,"DAN 10 MG/ML 0.07 FLOW 8 PASSES

Optical image channels: darkviolet = Dapi
",
Additional_Information,Biopsy 2297_1 ,
Condition,Uninfected,
Sample_Growth_Conditions,"ARV dosing: FTC, TFV, EFV, RAL",
Sample_Growth_Conditions,"ARV dosing: FTC, TFV, MVC, ATV",
Sample_Stabilisation,ffpe,FALSE
Analyzer,N/A,
Condition,standards,
Additional_Information,"Q Exactive HF;
m/z 400-1500;
flow rate: 3 uL/min;
180 psi N2;
S-lens 100;
100ms IT;
4.5 kV;
cap temp: 310C;
2 uscans",
Additional_Information,"Q Exactive HF;
m/z 70-400;
flow rate: 3 uL/min;
180 psi N2;
S-lens 50;
100ms IT;
4.5 kV;
cap temp: 310C;
2 uscans",
Organism,Leucoagaricus-Escovopsis,FALSE
Condition,biopsy-4189,
Condition,biopsy 4189,
Additional_Information,"biopsy_4189_section2
",
Additional_Information,"biopsy_4189_section1
",
Organism,Leaf,FALSE
Condition,Leaf,FALSE
Analyzer,"E.g. FTICR, Orbitrap",
Condition,Immortalised cell line,FALSE
Additional_Information,CLZ handspots,
Additional_Information,"Sample 4C, m/z range: 100-1500",FALSE
Additional_Information,"Sample 5I replicate, m/z range 100-1500, 90:10 MeOH:H2O, 3 µl/min, N2 7bar, IT 100, S-lens 100, 5kV",FALSE
Additional_Information,"Sample 5G replicate, m/z range 75-500, 90:10 MeOH:H2O, 3 µl/min, N2 7bar, IT 100, S-lens 100, 5kV",FALSE
Additional_Information,"Sample 5H replicate, m/z range 75-500, 90:10 MeOH:H2O, 3 µl/min, N2 7bar, IT 100, S-lens 100, 5kV",FALSE
Organism_Part,standards,FALSE
Sample_Growth_Conditions,agar,FALSE
Organism,n/a,FALSE
Condition,s_2006_002250,
Sample_Growth_Conditions,MSgg agar,FALSE
Additional_Information,Wiederaufbau 2021,
Additional_Information,"Sample S1D positive ion mode, m/z 70-400
MeOH/H2O 95:5, 1.0uL/min, 4.5kV, S-Lens 50, 150ms IT,
4.5bar N2, 70deg angle",
Condition,pqsA,
MALDI_Matrix,"DHB, CHCA",
Condition,PAO1,
Additional_Information,PAO1 200mz,
Condition,Not Infected,
Additional_Information,NC 200mz,
Condition,HemO TM,
Additional_Information,HemO TM 200mz,
Condition,HemO QM,
Additional_Information,HemO QM 200mz,
Condition,HemO,
Additional_Information,HemO 200mz,
Additional_Information,"Sample S1C negative ion mode, m/z 350-1300
MeOH/H2O 95:5, 1.0uL/min, 4.5kV, S-Lens 100, 150ms IT,
4.5bar N2, 70deg angle",
Additional_Information,"Sample S1C negative ion mode, m/z 70-400
MeOH/H2O 95:5, 1.0uL/min, 4.5kV, S-Lens 50, 150ms IT,
4.5bar N2, 70deg angle",
Additional_Information,"Wiederaufbau 2021
Wiederholungsmessung",
Condition,biopsy 16 gauge-test,
Additional_Information,"Wiederaufbau 2021
Zweiter Versuch, nachdem der erste nur wenig Lipidsignale hatte",
Condition,biopsy 17-635-005,
Additional_Information,"Spectroglyph sorce on 21T : biopsy 17-635-005,
recalibrated by Will using annotations metaspace has already made for this dataset 
",
Additional_Information,"Spectroglyph sorce on 21T : biopsy 17-635-005,
recalibrated by Will
",
Sample_Growth_Conditions,Sham Control: TCA,
Additional_Information,"Sample S1A negative ion mode, m/z 70-400
MeOH/H2O 95:5, 1.5uL/min, 4.5kV, S-Lens 50, 150ms IT",
Additional_Information,"Sample S1A positive ion mode, m/z 350-1300
MeOH/H2O 95:5, 1.5uL/min, 4.5kV, S-Lens 100, 150ms IT",
Additional_Information,"Sample S1A negative ion mode, m/z 350-1300
MeOH/H2O 95:5, 1.5uL/min, 4.5kV, S-Lens 100, 150ms IT",
Additional_Information,"Sample S1A positive ion mode, m/z 70-400
MeOH/H2O 95:5, 1.5uL/min, 4.5kV, S-Lens 50, 150ms IT",
Sample_Stabilisation,fixed,
Additional_Information,h2o wash,
Additional_Information,TFA vapour exposure,
Organism_Part,Mesenchymal cells,
Additional_Information,added TFA,
Sample_Growth_Conditions,Hippocampus,
MALDI_Matrix,"2′,6′-Dihydroxyacetophenone (DHAP)",
Additional_Information,"Spectroglyph sorce on 21T : biopsy 17-635-005
",
Organism_Part,Root/soil,FALSE
Additional_Information,RMS normalization,
Additional_Information,"Wiederaufbau 2021
Problem bei Matrixauftragung",
Organism_Part,Larynx,
Sample_Growth_Conditions,Human specimen,
Additional_Information,"A 74-year-old human larynx was obtained at autopsy with approval of the University of Wisconsin Health Sciences Institutional Review Board. The larynx contained advanced polypoid degeneration (Reinke's edema) as well as a supraglottic mucus retention cyst.

The specimen was fixed in 4% paraformaldehyde, paraffin embedded, and sectioned in the axial plane. We performed MALDI-MSI proteomic analysis on a glottic section containing the polypoid degeneration lesion, and MALDI-MSI glycomic analysis on a section containing the mucus retention cyst.  

Sections were deparaffinized and processed for antigen retrieval. For glycomic analysis, PNGase F was sprayed onto tissue sections using a TM-Sprayer to release glycans. For proteomic analysis, trypsin was sprayed onto tissue sections. DHB was used as the MALDI matrix.

MALDI-MS experiments were conducted using a MALDI-LTQ-Orbitrap XL mass spectrometer equipped with a 60 Hz 337 nm N2 laser. MS data were collected in the positive ion mode with a mass range of 100-3000 mass-to-charge ratio (m/z), mass resolution of 60K, raster step size of 75 µm, and laser energy of 20 µJ.",
Condition,6PostV,
Additional_Information,"25 um res, 800 shots, small molecule",
Additional_Information,"25 um res, 800 shots, 500 mz",
Additional_Information,"25 um res, 800 shots, 400 mz",
Condition,6PostN,
Condition,5PostV,
Condition,5PostN,
Condition,4PostV,
Additional_Information,"25 um res, 800 shots, 500mz",
Additional_Information,"25 um res, 800 shots, 400mz",
Additional_Information,hpmc used as embedding method,
Organism,Symbiodiniaceae,FALSE
Condition,ambient or elevated temperatures,
Sample_Stabilisation,Fresh,
Additional_Information,DIOS,FALSE
Additional_Information,agarose used as embedding method,
Organism,Drosophila trrWT,FALSE
Organism_Part,Embryo,
Condition,Apples,FALSE
Tissue_Modification,Spotted with standards,
Additional_Information,"Slide F, Cluster 3",
Organism,Drosophila trrCA,FALSE
Additional_Information,"Slide H, Cluster 3",
Condition,Regular,
Additional_Information,"Slide D, Cluster 3",
Additional_Information,"Slide B, Cluster 3",
Condition,axenic,
Additional_Information,"Slide G, Cluster 3",
Additional_Information,"Slide E, Cluster 3",
Sample_Growth_Conditions,Regular,
Additional_Information,"Slide C, Cluster 3",
Additional_Information,"Slide A, Cluster 3",
Sample_Growth_Conditions,marine ambient,
Additional_Information,HPMC-PVP used as embedding method,
Condition,biopsy _4769_#8,
Condition,biopsy _4769_#7,
Condition,biopsy _4769_#6,
Condition,biopsy _4769_#4,
Sample_Growth_Conditions,MCLR ,
Additional_Information,NEDC - 10MGML 8PASSES 0.06 FLOW,
Condition,SPD,
Sample_Growth_Conditions,SD0,
Additional_Information,"SPD, SD0, 25 um res, 800 shots, small molecule",
Additional_Information,"SPD, SD0, 25 um res, 800 shots, 500 mz",
Additional_Information,"SPD, SD0, 25 um res, 800 shots, 400 mz",
Additional_Information,"SA, SD0, 25 um res, 800 shots, small molecule",
Additional_Information,"SA, SD0, 25 um res, 800 shots, 500 mz",
Additional_Information,"SA, SD0, 25 um res, 800 shots, 400 mz",
Additional_Information,"PBS, SD0, 25 um res, 800 shots, small molecule",
Additional_Information,"PBS, SD0, 25 um res, 800 shots, 500 mz",
Additional_Information,"PBS, SD0, 25 um res, 800 shots, 400 mz",
Additional_Information,"GF, SD0, 25 um res, 800 shots, small molecule",
Additional_Information,"GF, SD0, 25 um res, 800 shots, 500 mz",
Additional_Information,"GF, SD0, 25 um res, 800 shots, 400 mz",
Sample_Growth_Conditions,BL,
Additional_Information,"SPF, BL, 25 um res, 800 shots, small molecule",
Additional_Information,"SPF, BL, 25 um res, 800 shots, 500 mz",
Additional_Information,"SPF, BL, 25 um res, 800 shots, 400 mz",
Additional_Information,"SA, BL, 25 um res, 800 shots, small molecule",
Additional_Information,"SA, BL, 25 um res, 800 shots, 500 mz",
Additional_Information,"SA, BL, 25 um res, 800 shots, 400 mz",
Additional_Information,"PBS, BL, 25 um res, 800 shots, small molecule",
Additional_Information,"PBS, BL, 25 um res, 800 shots, 500 mz",
Additional_Information,"PBS, BL, 25 um res, 800 shots, 400 mz",
Additional_Information,"GF, BL, 25 um res, 800 shots, small molecule",
Additional_Information,"GF, BL, 25 um res, 800 shots, 500mz",
Additional_Information,"GF, BL, 25 um res, 800 shots, 400mz",
Additional_Information,A PEN slide was used for this experiment.,
Organism_Part,Liver and kidney,
Tissue_Modification,UV-C treatment,
Additional_Information,"UV-C decontamination was performed using the build-in low pressure mercury arc lamp of a CM1950 cryostat (Leica, Nussloch, Germany). The germicidal emission maximum of the lamp is at wavelength 253.7 nm. To perform controlled and reproducible irradiation experiments, the effects of the pre-programmed 30- and 180-min decontamination cycles on the tissue metabolome were evaluated.
The sample groups are arranged as followed: 
Left: 180 min irradiation under Argon
Middle: Control (No irradiation)
Right: 180 min irradiation (normal atmosphere)",
Additional_Information,"UV-C decontamination was performed using the build-in low pressure mercury arc lamp of a CM1950 cryostat (Leica, Nussloch, Germany). The germicidal emission maximum of the lamp is at wavelength 253.7 nm. To perform controlled and reproducible irradiation experiments, the effects of the pre-programmed 30- and 180-min decontamination cycles on the tissue metabolome were evaluated.
The sample groups are arranged as followed: 
Left: 30 min irradiation
Middle: Control (No irradiation)
Right: 180 min irradiation",
Organism_Part,Kidney and Liver,
Tissue_Modification,UV-C irradiation,
Organism_Part,Bone marrow,
Sample_Growth_Conditions,2D culture,FALSE
Organism_Part,kidney ,
