mouse_model,name,bigg_accessions,hmdb_secondary,kegg_id,lipidmaps_id,inchi_key,hmdb_primary
5forthf,['5-Formiminotetrahydrofolate'],"['5forthf', '5forthf[c]', '5forthf_c']",['HMDB01534'],['C00664'],,['YCWUVLPMLLBDCU-STQMWFEESA-L'],HMDB0001534
5fthf,['5-Formyltetrahydrofolate'],"['5fthf_e', '5fthf[m]', '5fthf_c', '5fthf[c]', '5fthf', '5fthf_m', '5fthf[e]', '_5fthf_c']","['HMDB06206', 'HMDB62757', 'HMDB01562']",['C03479'],,['VVIAGPKUTFNRDU-STQMWFEESA-L'],HMDB0001562
5g2oxpt,['2-Oxoarginine'],"['5g2oxpt_p', '5g2oxpt', 'oxoarg__L', '5g2oxpt[c]', '5g2oxpt[e]', '5g2oxpt_e', 'oxoarg_DASH_L_c', '5g2oxpt_c', '5g2oxpt_x', '5g2oxpt[x]']","['HMDB06815', 'HMDB04225']",['C03771'],,['ARBHXJXXVVHMET-UHFFFAOYSA-N'],HMDB0004225
5hoxindact,['5-Hydroxyindoleacetaldehyde'],"['5hoxindact', '5hoxindact_c', '5hoxindact_m', '5hoxindact[c]', '5hoxindact[m]']",['HMDB04073'],['C05634'],,['OBFAPCIUSYHFIE-UHFFFAOYSA-N'],HMDB0004073
5hxkynam,['5-Hydroxykynurenamine'],"['5hxkynam_c', '5hxkynam', '5hxkynam[c]']",['HMDB04076'],['C05638'],,['JANBBPTXDKFOQR-UHFFFAOYSA-O'],HMDB0004076
5mdr1p,['5-Methylthio-5-deoxy-D-ribose 1-phosphate'],"['_5mdr1p_c', '5mdr1p[c]', '5mdr1p', '5mdr1p_c']",,['C04188'],,['JTFITTQBRJDSTL-KVTDHHQDSA-L'],HMDB0000963
5mdru1p,['5-Methylthio-5-deoxy-D-ribulose 1-phosphate'],"['5mdru1p_e', '5mdru1p[c]', '_5mdru1p_c', '5mdru1p', '5mdru1p_c']","['HMDB62647', 'HMDB01299']",['C04582'],,['CNSJRYUMVMWNMC-RITPCOANSA-L'],HMDB0001299
5mta,['5-Methylthioadenosine'],"['5mta_c', '5mta_h', '_5mta_c', '5mta', '5mta_e', '5mta_m', '5mta[c]', '5mta[e]']",['HMDB01173'],['C00170'],,['WUUGFSXJNOTRMR-IOSLPCCCSA-N'],HMDB0001173
5mthf,['5-Methyltetrahydrofolate'],"['5mthf_e', '5mthf_m', '5mthf', '_5mthf_c', '5mthf_c', '5mthf[e]', '5mthf[r]', '5mthf[c]', '5mthf[n]']",['HMDB01396'],['C00440'],,['ZNOVTXRBGFNYRX-STQMWFEESA-L'],HMDB0001396
5oxpro,['5-Oxoproline'],"['5oxpro_c', '5oxpro', '5oxpro[c]', '5oxpro_e', '5oxpro_p', '5oxpro[e]']","['HMDB60262', 'HMDB00267', 'HMDB00805']",['C01879'],,['ODHCTXKNWHHXJC-VKHMYHEASA-M'],HMDB0000267
5pmev,[' R  5 Phosphomevalonate C6H10O7P'],"['5pmev[x]', '5pmev[c]', '5pmev', '5pmev_x', '5pmev_c']",['HMDB01343'],['C01107'],['LMFA01050415'],['OKZYCXHTTZZYSK-ZCFIWIBFSA-K'],HMDB0001343
6a2ohxnt,['6-Amino-2-oxohexanoate'],"['6a2ohxnt_c', '6a2ohxnt', '6a2ohxnt_x', '6a2ohxnt[x]']",['HMDB12151'],['C03239'],,['GWENQMVPLJAMAE-UHFFFAOYSA-N'],HMDB0012151
6pgc,['6-Phospho-D-gluconate'],"['6pgc', '_6pgc_c', '6pgc_c', '6pgc_x', '6pgc_h', '6pgc_e', '6pgc[r]', '6pgc_r', '6pgc[c]', '6pgc_m']","['HMDB01316', 'HMDB62800']",['C00345'],,['BIRSGZKFKXLSJQ-SQOUGZDYSA-K'],HMDB0001316
6pgl,"['6-phospho-D-glucono-1,5-lactone']","['_6pgl_c', '6pgl[r]', '6pgl_x', '6pgl_h', '6pgl_c', '6pgl_r', '6pgl[c]', '6pgl']","['HMDB01127', 'HMDB62628']",['C01236'],,['IJOJIVNDFQSGAB-SQOUGZDYSA-L'],HMDB0001127
6pthp,"['6-Pyruvoyl-5,6,7,8-tetrahydropterin']","['6pthp[c]', '6pthp_n', '6pthp_c', '6pthp', '6pthp[n]']",['HMDB01195'],['C03684'],,['WBJZXBUVECZHCE-SCSAIBSYSA-N'],HMDB0001195
L2aadp,['L 2 Aminoadipate C6H10NO4'],"['L2aadp_c', 'L2aadp[c]', 'L2aadp', 'L2aadp_m', 'L2aadp[m]', 'L2aadp[e]']",,['C00956'],,['OYIFNHCXNCRBQI-BYPYZUCNSA-M'],HMDB0000510
L2aadp6sa,['L 2 Aminoadipate 6 semialdehyde C6H11NO3'],"['L2aadp6sa', 'L2aadp6sa_c', 'L2aadp6sa[m]', 'L2aadp6sa[c]', 'L2aadp6sa_m']","['HMDB01263', 'HMDB59595']",['C04076'],,['GFXYTQPNNXGICT-YFKPBYRVSA-N'],HMDB0001263
Lcyst,['L-Cysteate'],"['Lcyst[c]', 'Lcyst_e', 'Lcyst_h', 'Lcyst_m', 'Lcyst_c', 'Lcyst', 'Lcyst[e]', 'Lcyst[m]', 'Lcyst_p']",,['C00506'],,['XVOYSCVBGLVSOL-REOHCLBHSA-M'],HMDB0002757
Lfmkynr,['L Formylkynurenine C11H12N2O4'],"['Lfmkynr_c', 'Lfmkynr', 'Lfmkynr[c]']","['HMDB01200', 'HMDB60485']","['C15605', 'C02700']",,['BYHJHXPTQMMKCA-QMMMGPOBSA-N'],HMDB0001200
Lkynr,['L Kynurenine C10H12N2O3'],"['Lkynr_c', 'Lkynr[m]', 'Lkynr', 'Lkynr[c]', 'Lkynr[e]']","['HMDB00684', 'HMDB00183']",['C00328'],,['YGPSJZOEDVAXAB-QMMMGPOBSA-N'],HMDB0000684
Lpipecol,"[' piperidine-2-carboxylic acid', 'L-pipecolic acid']","['Lpipecol[c]', 'Lpipecol[e]', 'Lpipecol_c', 'Lpipecol_x', 'Lpipecol', 'Lpipecol[x]', 'Lpipecol_e']",['HMDB00716'],['C00408'],,['HXEACLLIILLPRG-YFKPBYRVSA-N'],HMDB0000716
Nacasp,['N-Acetyl-L-aspartate'],"['Nacasp', 'Nacasp[m]', 'Nacasp_m', 'Nacasp[e]', 'Nacasp[c]', 'Nacasp_c']",['HMDB00812'],['C01042'],,['OTCCIMWXFLJLIA-BYPYZUCNSA-L'],HMDB0000812
Sfglutth,['S-Formylglutathione'],"['Sfglutth', 'Sfglutth[c]', 'Sfglutth_c']","['HMDB01550', 'HMDB62625']",['C01031'],,['FHXAGOICBFGEBF-BQBZGAKWSA-M'],HMDB0001550
Ssq23epx,[' S  Squalene 2 3 epoxide C30H50O'],"['Ssq23epx[c]', 'Ssq23epx_r', 'Ssq23epx[r]', 'Ssq23epx', 'Ssq23epx_c']","['HMDB01188', 'HMDB59621']",['C01054'],['LMPR0106010010'],['QYIMSPSDBYKPPY-RSKUXYSASA-N'],HMDB0001188
T4hcinnm,['Trans 4 Hydroxycinnamate C9H7O3'],"['T4hcinnm[c]', 'T4hcinnm', 'T4hcinnm_c', 'T4hcinnm_e', 'T4hcinnm_p', 'T4hcinnm[m]', 'T4hcinnm[e]', 'T4hcinnm_m']",['HMDB02035'],['C00811'],,['NGSWKAQJJWESNS-ZZXKWVIFSA-M'],HMDB0002035
aacoa,['Acetoacetyl-CoA'],"['aacoa', 'aacoa[m]', 'aacoa_c', 'aacoa_x', 'aacoa[x]', 'aacoa_m', 'aacoa[c]']","['HMDB01484', 'HMDB11665']",['C00332'],['LMFA07050030'],['OJFDKHTZOUZBOS-CITAKDKDSA-J'],HMDB0001484
aact,['Aminoacetone'],"['aact[m]', 'aact_m', 'aact_x', 'aact_c', 'aact', 'aact[e]', 'aact[c]']","['HMDB02134', 'HMDB60177']",['C01888'],,['BCDGQXUMWHRQCB-UHFFFAOYSA-O'],HMDB0002134
abt,['L Arabinitol C5H12O5'],"['abt_c', 'abt', 'abt_e', 'abt[e]', 'abt[c]']","['HMDB00199', 'HMDB01851']",['C00532'],,['HEBKCHPVOIAQTA-IMJSIDKUSA-N'],HMDB0001851
ac,['Acetate'],"['ac_s', 'ac[r]', 'ac[g]', 'ac[e]', 'ac', 'ac_h', 'ac_m', 'ac_p', 'ac[c]', 'ac[m]', 'ac_e', 'ac_c', 'ac[x]', 'ac_x', 'ac_g']",['HMDB00042'],['C00033'],['LMFA01010002'],['QTBSBXVTEAMEQO-UHFFFAOYSA-M'],HMDB0000042
acac,['Acetoacetate'],"['acac_e', 'acac[e]', 'acac_m', 'acac_p', 'acac', 'acac[r]', 'acac[c]', 'acac_c', 'acac[m]', 'acac[x]', 'acac_x']",['HMDB00060'],['C00164'],['LMFA01060003'],['WDJHALXBUFZDSR-UHFFFAOYSA-M'],HMDB0000060
acald,['Acetaldehyde'],"['acald', 'acald_h', 'acald[e]', 'acald[x]', 'acald[r]', 'acald_c', 'acald_e', 'acald_m', 'acald_p', 'acald[c]', 'acald_x', 'acald_r', 'acald[m]']",['HMDB00990'],['C00084'],,['IKHGUXGNUITLKF-UHFFFAOYSA-N'],HMDB0000990
accoa,['Acetyl-CoA'],"['accoa_r', 'accoa_g', 'accoa_c', 'accoa_h', 'accoa[r]', 'accoa_s', 'accoa[x]', 'accoa[n]', 'accoa[m]', 'accoa_m', 'accoa[g]', 'accoa[c]', 'accoa', 'accoa_w', 'accoa_n', 'accoa_x']",['HMDB01206'],['C00024'],"['LMFA07050281', 'LMFA07050029']",['ZSLZBFCDCINBPY-ZSJPKINUSA-J'],HMDB0001206
acetol,['Acetol cytosol'],"['acetol_c', 'acetol', 'acetol[c]']",['HMDB06961'],['C05235'],,['XLSMFKSTNGKWQX-UHFFFAOYSA-N'],HMDB0006961
acetone,['Acetone'],"['acetone', 'acetone_c', 'acetone[m]', 'acetone_e', 'acetone[e]', 'acetone[c]', 'acetone_m']",['HMDB01659'],['C00207'],['LMFA12000057'],['CSCPPACGZOOCGX-UHFFFAOYSA-N'],HMDB0001659
acg5p,['N-Acetyl-L-glutamyl 5-phosphate'],"['acg5p[m]', 'acg5p', 'acg5p[c]', 'acg5p_h', 'acg5p_m', 'acg5p_c']",['HMDB06456'],['C04133'],,['FCVIHFVSXHOPSW-YFKPBYRVSA-K'],HMDB0006456
acg5sa,['N-Acetyl-L-glutamate 5-semialdehyde'],"['acg5sa_h', 'acg5sa', 'acg5sa_c', 'acg5sa[m]', 'acg5sa[c]', 'acg5sa_m']",['HMDB06488'],['C01250'],,['BCPSFKBPHHBDAI-LURJTMIESA-M'],HMDB0006488
acgal,['N-Acetyl-D-galactosamine'],"['acgal[g]', 'acgal_e', 'acgal_g', 'acgal_c', 'acgal_p', 'acgal_l', 'acgal[e]', 'acgal[l]', 'acgal[c]', 'acgal']",,['C01132'],,['OVRNDRQMDRJTHS-KEWYIRBNSA-N'],HMDB0000853
acgal1p,['N-Acetyl-D-galactosamine 1-phosphate'],"['acgal1p', 'acgal1p[c]', 'acgal1p_e', 'acgal1p_p', 'acgal1p_c']","['HMDB59626', 'HMDB06480']",['C18060'],,['FZLJPEPAYPUMMR-JAJWTYFOSA-L'],HMDB0006480
acgam,['N-Acetyl-D-glucosamine'],"['acgam', 'acgam_p', 'acgam[r]', 'acgam_e', 'acgam[e]', 'acgam_l', 'acgam_w', 'acgam[c]', 'acgam_c', 'acgam[l]']","['HMDB14288', 'HMDB00533', 'HMDB62641', 'HMDB00215']",['C00140'],,['OVRNDRQMDRJTHS-RTRLPJTCSA-N'],HMDB0000215
acgam1p,['N-Acetyl-D-glucosamine 1-phosphate'],"['acgam1p', 'acgam1p_p', 'acgam1p[c]', 'acgam1p_e', 'acgam1p_c']",['HMDB01367'],['C04256'],,['FZLJPEPAYPUMMR-RTRLPJTCSA-L'],HMDB0001367
acgam6p,['N-Acetyl-D-glucosamine 6-phosphate'],"['acgam6p[c]', 'acgam6p_c', 'acgam6p']","['HMDB01062', 'HMDB02817']",['C00357'],,['BRGMHAYQAZFZDJ-RTRLPJTCSA-L'],HMDB0001062
acglu,['N-Acetyl-L-glutamate'],"['acglu[c]', 'acglu_m', 'acglu_h', 'acglu_e', 'acglu[e]', 'acglu[m]', 'acglu_c', 'acglu']",,['C00624'],,['RFMMMVDNIPUKGG-YFKPBYRVSA-L'],HMDB0001138
acgpail_hs,['N-Acetyl-D-glucosaminylphosphatidylinositol'],"['acgpail_hs', 'acgpail_hs_c', 'acgpail_hs[c]']",,['C01288'],,,HMDB0011669
ach,['Acetylcholine'],"['ach_e', 'ach[c]', 'ach[n]', 'ach[e]', 'ach_n', 'ach', 'ach_c']",['HMDB00895'],['C01996'],,['OIPILFWXSMYKGL-UHFFFAOYSA-N'],HMDB0000895
acmana,['N-Acetyl-D-mannosamine'],"['acmana[r]', 'acmana_r', 'acmana', 'acmana[e]', 'acmana_p', 'acmana_c', 'acmana[c]', 'acmana_e']",['HMDB62724'],['C00645'],,['MBLBDJOUHNCFQT-XAMCCFCMSA-N'],HMDB0001129
acmanap,['N-Acetyl-D-mannosamine 6-phosphate'],"['acmanap', 'acmanap_c', 'acmanap[c]']",['HMDB01121'],['C04257'],,['QDSLHWJDSQGPEE-WCTZXXKLSA-L'],HMDB0001121
acnam,['N-Acetylneuraminate'],"['acnam[l]', 'acnam_p', 'acnam_l', 'acnam', 'acnam[c]', 'acnam_n', 'acnam[n]', 'acnam_c', 'acnam_e', 'acnam[e]']","['HMDB00800', 'HMDB00230']","['C00270', 'C19910']",,['SQVRNKJHWKZAKO-LUWBGTNYSA-M'],HMDB0000230
acorn,['N2-Acetyl-L-ornithine'],"['acorn_h', 'acorn_m', 'acorn[c]', 'acorn[e]', 'acorn_c', 'acorn']","['HMDB06489', 'HMDB03357']",['C00437'],,['JRLGPAXAGHMNOL-LURJTMIESA-N'],HMDB0003357
acrn,['O Acetylcarnitine C9H17NO4'],"['acrn[r]', 'acrn[x]', 'acrn[m]', 'acrn[e]', 'acrn[c]', 'acrn_x', 'acrn_c', 'acrn_r', 'acrn', 'acrn_m']","['HMDB00201', 'HMDB00515', 'HMDB00456']",['C02571'],"['LMFA07070050', 'LMFA07070060']",['RDHQFKQIGNGIED-MRVPVSSYSA-N'],HMDB0000201
ade,['Adenine'],"['ade[e]', 'ade_p', 'ade', 'ade_l', 'ade[l]', 'ade[c]', 'ade_m', 'ade_e', 'ade_c']",['HMDB00034'],['C00147'],,['GFFGJBXGBJISGV-UHFFFAOYSA-N'],HMDB0000034
adhap_hs,['Acyl-dihydroxyacetone phosphate'],"['adhap_hs_x', 'adhap_hs', 'adhap_hs_c']",,['C03372'],,,HMDB0011750
adn,['Adenosine'],"['adn[m]', 'adn[c]', 'adn_c', 'adn_x', 'adn_m', 'adn[l]', 'adn[n]', 'adn_l', 'adn_r', 'adn[e]', 'adn_p', 'adn_e', 'adn']","['HMDB04402', 'HMDB04401', 'HMDB04421', 'HMDB00050']",['C00212'],,['OIRDTQYFTABQOQ-KQYNXXCUSA-N'],HMDB0000050
adocbl,['Adenosylcobalamin'],"['adocbl[m]', 'adocbl_p', 'adocbl', 'adocbl[e]', 'adocbl[c]', 'adocbl_e', 'adocbl_m', 'adocbl_c']",['HMDB02086'],['C00194'],,['ZIHHMGTYZOSFRC-QRVZQHAISA-N'],HMDB0002086
adp,['ADP C10H12N5O10P2'],"['adp[l]', 'adp', 'adp_f', 'adp[n]', 'adp_v', 'adp[m]', 'adp[e]', 'adp_c', 'adp[g]', 'adp_m', 'adp_x', 'adp_r', 'adp_h', 'adp[c]', 'adp_g', 'adp_n', 'adp_e', 'adp[x]', 'adp[r]']",['HMDB01341'],['C00008'],,['XTWYTFMLZFPYCI-KQYNXXCUSA-K'],HMDB0001341
adpglc,['ADPglucose C16H23N5O15P2'],"['adpglc_c', 'adpglc[c]', 'adpglc_h', 'adpglc']","['HMDB12186', 'HMDB06557', 'HMDB62621']",['C00498'],,['WFPZSXYXPSUOPY-ROYWQJLOSA-L'],HMDB0006557
adprib,['ADPribose C15H21N5O14P2'],"['adprib[c]', 'adprib[e]', 'adprib', 'adprib_m', 'adprib_c', 'adprib_e', 'adprib[m]']",,"['C00301', 'C01882']",,['SRNWOUGRCWSEMX-TYASJMOZSA-L'],HMDB0001178
agm,['Agmatine'],"['agm[e]', 'agm_c', 'agm_e', 'agm', 'agm_n', 'agm_p', 'agm[c]', 'agm[m]', 'agm_m']","['HMDB60259', 'HMDB01432']",['C00179'],,['QYPPJABKJHAVHS-UHFFFAOYSA-P'],HMDB0001432
ahcys,['S-Adenosyl-L-homocysteine'],"['ahcys_m', 'ahcys[c]', 'ahcys[r]', 'ahcys_n', 'ahcys_g', 'ahcys_e', 'ahcys_r', 'ahcys[m]', 'ahcys', 'ahcys[e]', 'ahcys[n]', 'ahcys_c', 'ahcys_h']",['HMDB00939'],['C00021'],,['ZJUKTBDSGOFHSH-WFMPWKQPSA-N'],HMDB0000939
ahdt,"['2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate']","['ahdt_c', 'ahdt_e', 'ahdt[n]', 'ahdt[e]', 'ahdt[c]', 'ahdt_n', 'ahdt']","['HMDB01144', 'HMDB00980', 'HMDB12181']",['C04895'],,['DGGUVLXVLHAAGT-XINAWCOVSA-J'],HMDB0000980
aicar,['5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide'],"['aicar_c', 'aicar[e]', 'aicar_e', 'aicar', 'aicar_h', 'aicar[c]']",['HMDB01517'],['C04677'],,['NOTGFIUVDGNKRI-UUOKFMHZSA-L'],HMDB0001517
air,['5-amino-1-(5-phospho-D-ribosyl)imidazole'],"['air_c', 'air_h', 'air', 'air[c]']",['HMDB62575'],,,['PDACUKOKVHBVHJ-ZRTZXPPTSA-M'],HMDB0062575
ak2lgchol_hs,['1-alkyl 2-lysoglycerol 3-phosphocholine'],"['ak2lgchol_hs[c]', 'ak2lgchol_hs_c', 'ak2lgchol_hs[e]', 'ak2lgchol_hs', 'ak2lgchol_hs_e']",,['C04317'],,,HMDB0011149
akg,['2-Oxoglutarate'],"['akg', 'akg_r', 'akg_x', 'akg_p', 'akg[x]', 'akg[c]', 'akg_n', 'akg[m]', 'akg[r]', 'akg_h', 'akg_m', 'akg[e]', 'akg_c', 'akg_e']","['HMDB00208', 'HMDB62781', 'HMDB02812']",['C00026'],,['KPGXRSRHYNQIFN-UHFFFAOYSA-L'],HMDB0000208
ala_B,['Beta-Alanine'],"['ala_DASH_B_h', 'ala-B[c]', 'ala_DASH_B_c', 'ala__B_m', 'ala_DASH_B_e', 'ala__B_e', 'ala__B_p', 'ala_B', 'ala_B_m', 'ala_DASH_B_p', 'ala_B[c]', 'ala__B_c', 'ala_B_e', 'ala_B[m]', 'ala_B_c', 'ala_DASH_B_m', 'ala_B[e]', 'ala_B_p']",['HMDB00056'],['C00099'],,['UCMIRNVEIXFBKS-UHFFFAOYSA-N'],HMDB0000056
ala__D,['D-Alanine'],"['ala-D[e]', 'ala-D[c]', 'ala__D_x', 'ala__D_c', 'ala_DASH_D_c', 'ala_D[l]', 'ala_DASH_D_p', 'ala_DASH_D_e', 'ala__D_l', 'ala_D[x]', 'ala_D_c', 'ala_D[c]', 'ala_D_x', 'ala__D_p', 'ala_DASH_D_l', 'ala__D', 'ala_D_e', 'ala_D_p', 'ala__D_e', 'ala_D[e]', 'ala_DASH_D_x']",['HMDB01310'],['C00133'],,['QNAYBMKLOCPYGJ-UWTATZPHSA-N'],HMDB0001310
ala__L,['L-Alanine'],"['ala_L_c', 'ala__L_p', 'ala_L_x', 'ala_DASH_L_m', 'ala__L', 'ala_L[m]', 'ala_L_p', 'ala_DASH_L_c', 'ala_DASH_L_e', 'ala__L_c', 'ala_L[c]', 'ala__L_m', 'ala_DASH_L_p', 'ala__L_e', 'ala_DASH_L_x', 'ala_L[e]', 'ala_DASH_L_l', 'ala_L[l]', 'ala_L[x]', 'ala__L_x', 'ala_L_m', 'ala__L_h', 'ala-L[c]', 'ala__L_l', 'ala_L_e']","['HMDB62251', 'HMDB00161']","['C01401', 'C00041']",,['QNAYBMKLOCPYGJ-REOHCLBHSA-N'],HMDB0000161
alpam,['S aminomethyldihydrolipoamide C9H21N2OS2'],"['alpam[m]', 'alpam', 'alpam_c', 'alpam_m']",['HMDB06239'],,['LMFA08010025'],['KALYVIJGKPJBQV-UHFFFAOYSA-O'],HMDB0006239
am6sa,['2-Aminomuconate 6-semialdehyde'],"['am6sa', 'am6sa[c]', 'am6sa_c']",['HMDB01280'],['C03824'],['LMFA01060191'],['QCGTZPZKJPTAEP-REDYYMJGSA-N'],HMDB0001280
amet,['S-Adenosyl-L-methionine'],"['amet[r]', 'amet_r', 'amet_c', 'amet_m', 'amet_e', 'amet[e]', 'amet[m]', 'amet_n', 'amet_h', 'amet[c]', 'amet_g', 'amet', 'amet[n]']","['HMDB01185', 'HMDB62709']",['C00019'],,['MEFKEPWMEQBLKI-AIRLBKTGSA-O'],HMDB0001185
ametam,['S-Adenosylmethioninamine'],"['ametam_c', 'ametam[c]', 'ametam', 'ametam_h', 'ametam_m', 'ametam[e]']",['HMDB00988'],['C01137'],,['ZUNBITIXDCPNSD-LSRJEVITSA-O'],HMDB0000988
amp,['AMP C10H12N5O7P'],"['amp_m', 'amp_x', 'amp[r]', 'amp_e', 'amp[g]', 'amp_g', 'amp_n', 'amp[x]', 'amp_p', 'amp_r', 'amp[e]', 'amp_c', 'amp[n]', 'amp[m]', 'amp_l', 'amp[l]', 'amp[c]', 'amp_h', 'amp']",['HMDB00045'],['C00020'],,['UDMBCSSLTHHNCD-KQYNXXCUSA-L'],HMDB0000045
amuco,['2-Aminomuconate'],"['amuco', 'amuco_c', 'amuco[c]']","['HMDB02018', 'HMDB01241']",['C02220'],['LMFA01170082'],['ZRHONLCTYUYMIQ-TZFCGSKZSA-M'],HMDB0001241
anth,['Anthranilate'],"['anth[c]', 'anth', 'anth_h', 'anth_c', 'anth[e]', 'anth_e']",['HMDB01123'],['C00108'],,['RWZYAGGXGHYGMB-UHFFFAOYSA-M'],HMDB0001123
ap4a,"[""P1,P4-Bis(5'-adenosyl) tetraphosphate""]","['ap4a', 'ap4a_c', 'ap4a[c]', 'ap4a_n']","['HMDB01211', 'HMDB06502']",['C01260'],,['YOAHKNVSNCMZGQ-XPWFQUROSA-J'],HMDB0001211
aprut,['N Acetylputrescine C6H15N2O'],"['aprut[c]', 'aprut', 'aprut_c']","['HMDB02064', 'HMDB60268']",['C02714'],,['KLZGKIDSEJWEDW-UHFFFAOYSA-O'],HMDB0002064
aps,"[""Adenosine 5'-phosphosulfate""]","['aps[n]', 'aps_n', 'aps_c', 'aps_m', 'aps[c]', 'aps_h', 'aps']",['HMDB01003'],['C00224'],,['IRLPACMLTUPBCL-KQYNXXCUSA-L'],HMDB0001003
arab__L,['L-Arabinose'],"['arab-L[c]', 'arab__L', 'arab_L_e', 'arab__L_p', 'arab_DASH_L_c', 'arab__L_e', 'arab_L_c', 'arab_L[c]', 'arab_L_p', 'arab_DASH_L_p', 'arab__L_c', 'arab_DASH_L_e', 'arab-L[e]', 'arab_L[e]']",,['C11476'],,['PYMYPHUHKUWMLA-VAYJURFESA-N'],HMDB0000646
arach,['Arachidic acid'],"['arach_e', 'arach[e]', 'arach_c', 'arach_x', 'arach[c]', 'arach[m]', 'arach[r]', 'arach[x]', 'arach']",['HMDB02212'],['C06425'],"['LMFA01010020', 'LMFA01010049']",['VKOBVWXKNCXXDE-UHFFFAOYSA-M'],HMDB0002212
arg__D,['D-Arginine'],"['arg_DASH_D_x', 'arg_D[e]', 'arg_D[c]', 'arg__D_e', 'arg__D_x', 'arg__D_c', 'arg__D', 'arg_D[x]', 'arg__D_p']",['HMDB03416'],['C00792'],,['ODKSFYDXXFIFQN-SCSAIBSYSA-O'],HMDB0003416
arg__L,['L-Arginine'],"['arg-L[e]', 'arg__L_p', 'arg__L_e', 'arg_L[m]', 'arg__L_m', 'arg-L[c]', 'arg__L', 'arg_DASH_L_e', 'arg__L_c', 'arg_L_e', 'arg_L[e]', 'arg_L_c', 'arg_L_p', 'arg_L_m', 'arg_L[c]', 'arg_DASH_L_c', 'arg_DASH_L_m', 'arg_L_x', 'arg_DASH_L_p', 'arg_L_v']","['HMDB00517', 'HMDB62762']","['C00062', 'C02385']",,['ODKSFYDXXFIFQN-BYPYZUCNSA-O'],HMDB0000517
argsuc,['N(omega)-(L-Arginino)succinate'],"['argsuc[c]', 'argsuc_c', 'argsuc[e]', 'argsuc']","['HMDB01006', 'HMDB00052']",['C03406'],,['KDZOASGQNOPSCU-ZBHICJROSA-M'],HMDB0000052
ascb__L,['L-Ascorbate'],"['ascb__L', 'ascb__L_m', 'ascb_DASH_L_u', 'ascb__L_h', 'ascb_L[e]', 'ascb_DASH_L_p', 'ascb_DASH_L_e', 'ascb_L_e', 'ascb__L_e', 'ascb_L_c', 'ascb__L_u', 'ascb_L[c]', 'ascb_DASH_L_c', 'ascb__L_p', 'ascb_L_p', 'ascb_L[r]', 'ascb__L_c']","['HMDB00044', 'HMDB29945', 'HMDB14273']","['C20364', 'C00072']",,['CIWBSHSKHKDKBQ-JLAZNSOCSA-M'],HMDB0000044
asn__L,['L-Asparagine'],"['asn_DASH_L_c', 'asn_DASH_L_x', 'asn_L_x', 'asn__L', 'asn_L_m', 'asn_L_e', 'asn_L[c]', 'asn__L_c', 'asn_DASH_L_e', 'asn_L_v', 'asn__L_p', 'asn_L_p', 'asn_L[e]', 'asn-L[e]', 'asn_DASH_L_m', 'asn_L[m]', 'asn__L_h', 'asn-L[c]', 'asn__L_m', 'asn_DASH_L_p', 'asn__L_e', 'asn_L_c']",['HMDB00168'],"['C16438', 'C00152']",,['DCXYFEDJOCDNAF-REOHCLBHSA-N'],HMDB0000168
asp__D,['D-Aspartate'],"['asp_D[c]', 'asp_D[x]', 'asp__D_x', 'asp_D_e', 'asp_DASH_D_x', 'asp_D_x', 'asp__D', 'asp-D[c]', 'asp__D_c', 'asp_DASH_D_c', 'asp__D_e', 'asp_D[e]', 'asp_DASH_D_e', 'asp_D_c']",['HMDB06483'],['C00402'],,['CKLJMWTZIZZHCS-UWTATZPHSA-M'],HMDB0006483
asp__L,['L-Aspartate'],"['asp__L_h', 'asp_L_e', 'asp__L_p', 'asp_DASH_L_h', 'asp_L_x', 'asp_L_p', 'asp-L[e]', 'asp_DASH_L_e', 'asp_DASH_L_x', 'asp_L[c]', 'asp__L_c', 'asp_L_m', 'asp__L_e', 'asp__L', 'asp_DASH_L_c', 'asp_DASH_L_n', 'asp__L_m', 'asp_DASH_L_p', 'asp-L[c]', 'asp_L_c', 'asp_L[e]', 'asp_DASH_L_m', 'asp_L_v', 'asp_L_n', 'asp_L[m]']","['HMDB62186', 'HMDB00191', 'HMDB62501']","['C16433', 'C00049']",,['CKLJMWTZIZZHCS-REOHCLBHSA-M'],HMDB0000191
atp,['ATP C10H12N5O13P3'],"['atp_x', 'atp[m]', 'atp[r]', 'atp', 'atp[x]', 'atp_v', 'atp[c]', 'atp_n', 'atp_h', 'atp_f', 'atp_r', 'atp_c', 'atp[g]', 'atp[n]', 'atp[l]', 'atp_g', 'atp_m', 'atp_e', 'atp[e]']",['HMDB00538'],['C00002'],,['ZKHQWZAMYRWXGA-KQYNXXCUSA-J'],HMDB0000538
avite1,['Alpha-Tocopherol'],"['atocophe_c', 'avite1[c]', 'avite1_c', 'avite1_e', 'avite1_h', 'avite1[e]', 'avite1[r]', 'atocophe', 'avite1']",['HMDB01893'],['C02477'],"['LMPR02020000', 'LMPR02020001']",['GVJHHUAWPYXKBD-IEOSBIPESA-N'],HMDB0001893
